gene,neglogpval
OTAU017482-RA,34.6940319352621
OTAU012716-RA,33.1688479020345
OTAU008667-RA,25.947489516588
OTAU012562-RA,26.0070953757536
OTAU013988-RA,23.0444672612938
OTAU011160-RA,20.6416553633989
OTAU017472-RA,19.9728213594311
OTAU002976-RA,18.4309449459196
OTAU010604-RA,17.9452956979596
OTAU017158-RA,18.0116866999696
OTAU017263-RA,17.7393487485083
OTAU012035-RA,17.5106005196787
OTAU014686-RA,17.4687888096625
OTAU002273-RA,16.8820732969951
OTAU014798-RA,16.7137651833414
OTAU004967-RA,16.2725159795886
OTAU008025-RA,16.2778291478028
OTAU008480-RA,16.4609017238474
OTAU010736-RA,16.3227699480006
OTAU014765-RA,16.2635828206888
OTAU005858-RA,16.0338746590558
OTAU003907-RA,15.9069881235274
OTAU008583-RA,15.7978922602804
OTAU013675-RA,15.6612013891692
OTAU004541-RA,15.4787417088558
OTAU015887-RA,15.3604754099491
OTAU014528-RA,14.6484840701866
OTAU000930-RA,14.6074479362715
OTAU002274-RA,14.4155598456194
OTAU004278-RA,14.3897143972899
OTAU016192-RA,14.3772474752889
OTAU014799-RA,14.3049272041606
OTAU006392-RA,14.2437197875901
OTAU006393-RA,13.793138111813
OTAU009954-RA,13.7271080991417
OTAU013946-RA,13.6303111526161
OTAU013795-RA,13.5711268062783
OTAU008022-RA,13.3082598387588
OTAU017102-RA,13.3196838809951
OTAU006524-RA,13.246991630161
OTAU012305-RA,13.2512970529516
OTAU005403-RA,13.1361160085217
OTAU014504-RA,13.1455757726118
OTAU013892-RA,13.0102278444153
OTAU015998-RA,13.0143611117348
OTAU005056-RA,12.983998532188
OTAU010142-RA,12.8685852455621
OTAU015597-RA,12.6571128556579
OTAU017257-RA,12.5377472252942
OTAU011835-RA,12.4692962410671
OTAU003590-RA,12.3927825546112
OTAU004038-RA,12.3609488415419
OTAU012053-RA,12.3598244718094
OTAU000563-RA,12.3356026861923
OTAU000843-RA,12.2550243690169
OTAU004095-RA,12.2305372037827
OTAU002511-RA,12.1385159517579
OTAU012026-RA,12.1336270232367
OTAU012667-RA,12.1375953962992
OTAU009531-RA,12.0869867112969
OTAU007863-RA,12.0347011395623
OTAU000983-RA,11.9898073592606
OTAU012654-RA,11.892465437822
OTAU001518-RA,11.5956947954683
OTAU001917-RA,11.5217994167433
OTAU005226-RA,11.4591223030176
OTAU012923-RA,11.4648764008903
OTAU016870-RA,11.4618677029719
OTAU006249-RA,11.3551986497376
OTAU000707-RA,11.2530482663317
OTAU007025-RA,11.1643417353011
OTAU008017-RA,11.1449127055395
OTAU013565-RA,11.1238307904346
OTAU005463-RA,11.1052401317862
OTAU015995-RA,11.004366806863
OTAU016829-RA,10.9748625285803
OTAU007224-RA,10.9348586493197
OTAU012657-RA,10.8937819319072
OTAU007716-RA,10.8596926364086
OTAU014007-RA,10.8337931211662
OTAU006366-RA,10.7919895435064
OTAU003416-RA,10.6679150957521
OTAU010901-RA,10.6667459881349
OTAU017079-RA,10.6896091769244
OTAU009550-RA,10.6414838942297
OTAU011998-RA,10.6229897127444
OTAU004279-RA,10.5598744446001
OTAU008818-RA,10.5338347560591
OTAU012794-RA,10.5367790344484
OTAU014612-RA,10.5463625867842
OTAU017197-RA,10.5133126470341
OTAU011572-RA,10.4825594668303
OTAU000295-RA,10.4496117102507
OTAU010309-RA,10.4555155356083
OTAU010731-RA,10.392364508999
OTAU016225-RA,10.3944527328008
OTAU004521-RA,10.3188340223418
OTAU010647-RA,10.281163434775
OTAU005523-RA,10.2703362151694
OTAU010378-RA,10.2556414422889
OTAU016607-RA,10.2447942076777
OTAU013705-RA,10.2215769140034
OTAU001107-RA,10.1645128267711
OTAU005956-RA,10.1290582789879
OTAU012656-RA,10.1028219329937
OTAU004026-RA,10.070619957637
OTAU005614-RA,10.0061371450093
OTAU001184-RA,9.99096485628955
OTAU005889-RA,9.98494699448048
OTAU010614-RA,9.96138162360058
OTAU008460-RA,9.91906076265558
OTAU003053-RA,9.8354012192782
OTAU005859-RA,9.84489070665972
OTAU010247-RA,9.84426338568135
OTAU010548-RA,9.86243950601057
OTAU011065-RA,9.82794038604839
OTAU011992-RA,9.79263063955268
OTAU016974-RA,9.78868385560363
OTAU012640-RA,9.773338914517
OTAU007158-RA,9.75485019188266
OTAU012571-RA,9.74185033963057
OTAU015057-RA,9.73237191904329
OTAU016884-RA,9.71636655985953
OTAU009740-RA,9.68919664079738
OTAU015803-RA,9.67735784686597
OTAU015003-RA,9.66530351749218
OTAU005504-RA,9.62143532480541
OTAU007918-RA,9.6130829928172
OTAU008210-RA,9.52763695802154
OTAU013673-RA,9.53535339708793
OTAU009182-RA,9.51903333064954
OTAU015524-RA,9.51192125307429
OTAU016757-RA,9.48768568541585
OTAU006633-RA,9.466670076357
OTAU013564-RA,9.47180395798081
OTAU010464-RA,9.45029309253059
OTAU013698-RA,9.45067884538808
OTAU013450-RA,9.44041912191416
OTAU014311-RA,9.41831051926806
OTAU014747-RA,9.38826813549288
OTAU004666-RA,9.35973510757636
OTAU009601-RA,9.36440693311346
OTAU002181-RA,9.33788516115085
OTAU013547-RA,9.29510032004747
OTAU006151-RA,9.26874068346329
OTAU016959-RA,9.25740871935118
OTAU005224-RA,9.21741230555304
OTAU015795-RA,9.18304866013102
OTAU014863-RA,9.17109063303351
OTAU006310-RA,9.15373352043863
OTAU007835-RA,9.14825696184404
OTAU004440-RA,9.08582577600477
OTAU016572-RA,9.02620368556609
OTAU015822-RA,8.95182308794642
OTAU011673-RA,8.94357251501825
OTAU011099-RA,8.93493254482895
OTAU005514-RA,8.89972898799016
OTAU000658-RA,8.88450023342068
OTAU003851-RA,8.88198358026406
OTAU001631-RA,8.8706394406846
OTAU005719-RA,8.86667772514694
OTAU013690-RA,8.85563275795548
OTAU011135-RA,8.83954975208593
OTAU007547-RA,8.82223200209904
OTAU003470-RA,8.80747573462974
OTAU013911-RA,8.79640864997243
OTAU008367-RA,8.79003900235301
OTAU005202-RA,8.78289568874933
OTAU008520-RA,8.76258633360827
OTAU014907-RA,8.76468661134182
OTAU016546-RA,8.76360103744819
OTAU008777-RA,8.73726388203526
OTAU012097-RA,8.72510331640896
OTAU003012-RA,8.70558337488835
OTAU016438-RA,8.70549632799568
OTAU000043-RA,8.64490222851235
OTAU014710-RA,8.64409699824993
OTAU014975-RA,8.64118650860837
OTAU000748-RA,8.59643412384455
OTAU004809-RA,8.59912013959788
OTAU001088-RA,8.58777665633797
OTAU004879-RA,8.58070307561688
OTAU005764-RA,8.56850674136822
OTAU009556-RA,8.55745167906627
OTAU010758-RA,8.53453814610453
OTAU011462-RA,8.52836292853636
OTAU016955-RA,8.53123930898774
OTAU000259-RA,8.51119941515592
OTAU017092-RA,8.50962689867902
OTAU003611-RA,8.50310451250644
OTAU002862-RA,8.49196344313556
OTAU010832-RA,8.48023482517219
OTAU016421-RA,8.47851833071046
OTAU003122-RA,8.47333923840417
OTAU007522-RA,8.44154864769589
OTAU010377-RA,8.44529739457132
OTAU010952-RA,8.44933645774328
OTAU013574-RA,8.44773121725356
OTAU014136-RA,8.43470658799763
OTAU000628-RA,8.42781764351339
OTAU014108-RA,8.39972693240531
OTAU000507-RA,8.37952282042839
OTAU003328-RA,8.37275261966458
OTAU005522-RA,8.3678131383084
OTAU002989-RA,8.3423952063269
OTAU011635-RA,8.34696109908158
OTAU001762-RA,8.32894362126119
OTAU004438-RA,8.30904808460268
OTAU012999-RA,8.30623036922779
OTAU002547-RA,8.28263915467129
OTAU016487-RA,8.2695580199241
OTAU012230-RA,8.25097175942203
OTAU012235-RA,8.22061625292669
OTAU001893-RA,8.1919394106236
OTAU013175-RA,8.1435231849675
OTAU000213-RA,8.12355377157016
OTAU006334-RA,8.09762623120609
OTAU005875-RA,8.07574035500546
OTAU006332-RA,8.06330588495985
OTAU013850-RA,8.02483989709874
OTAU014672-RA,7.99880022277506
OTAU001779-RA,7.98321822494303
OTAU014190-RA,7.98454812850128
OTAU013600-RA,7.97309437892286
OTAU007200-RA,7.94585945560476
OTAU008234-RA,7.95074428836047
OTAU016461-RA,7.94588616448545
OTAU011744-RA,7.93272741805264
OTAU001592-RA,7.92348122222761
OTAU009713-RA,7.91813263534963
OTAU000330-RA,7.90976451655296
OTAU009900-RA,7.89850802504227
OTAU003293-RA,7.8890673214804
