gene,neglogpval
OTAU017482-RA,39.000801610949
OTAU012716-RA,31.3243143956085
OTAU012562-RA,28.1187658337347
OTAU013946-RA,26.2222918185272
OTAU008667-RA,25.7687080767108
OTAU012035-RA,25.8238787543221
OTAU011160-RA,23.6062475249676
OTAU017158-RA,21.7650849173737
OTAU005858-RA,20.8885271775409
OTAU008480-RA,20.3439875826448
OTAU004278-RA,20.0999268226406
OTAU014765-RA,19.9227095605972
OTAU014798-RA,19.9273169631485
OTAU003416-RA,19.7928005702348
OTAU013988-RA,19.7683968635616
OTAU010604-RA,19.5584971260143
OTAU002976-RA,19.2381978559026
OTAU010736-RA,18.285098449505
OTAU009178-RA,17.7903981710193
OTAU010901-RA,17.5357349734687
OTAU003470-RA,17.2341485254743
OTAU016438-RA,16.8418082076768
OTAU015887-RA,16.7282360091836
OTAU004967-RA,16.6511739897186
OTAU015822-RA,16.3413986654482
OTAU003907-RA,16.147240235827
OTAU002273-RA,15.9551606113472
OTAU005403-RA,15.7708767351613
OTAU013892-RA,15.5534262999529
OTAU014686-RA,15.5218212093691
OTAU008583-RA,15.1616393648348
OTAU004541-RA,15.0434223217437
OTAU010142-RA,15.0592245966466
OTAU016829-RA,14.7773821974967
OTAU008025-RA,14.7195073314003
OTAU000930-RA,14.640989637646
OTAU004095-RA,14.6311859029619
OTAU008015-RA,14.2972626016527
OTAU013675-RA,14.3088973470294
OTAU014528-RA,14.3254799373039
OTAU015998-RA,13.9435552776611
OTAU017102-RA,13.8925859839016
OTAU002274-RA,13.778923548324
OTAU006392-RA,13.7350071610609
OTAU016993-RA,13.5283814762028
OTAU014504-RA,13.4282578134442
OTAU008022-RA,13.4009656449581
OTAU008017-RA,13.3760830225952
OTAU009531-RA,13.2984765564267
OTAU005463-RA,13.180213145515
OTAU014799-RA,13.1983570404026
OTAU012053-RA,13.0450706044408
OTAU015795-RA,12.9840687623976
OTAU006524-RA,12.9280647663066
OTAU010647-RA,12.9402427457674
OTAU007224-RA,12.8985950743837
OTAU011835-RA,12.7284934602587
OTAU016192-RA,12.7146898002827
OTAU000563-RA,12.6590657053467
OTAU004809-RA,12.5439411234288
OTAU011744-RA,12.4924801212104
OTAU013258-RA,12.364329123528
OTAU015597-RA,12.3633659470135
OTAU013673-RA,12.3167623240078
OTAU000983-RA,12.2564798161875
OTAU006393-RA,12.231481102078
OTAU017257-RA,12.2004587423553
OTAU010731-RA,12.0810491742134
OTAU012026-RA,12.1094162504153
OTAU012923-RA,12.0841829060037
OTAU005056-RA,12.0428842985246
OTAU006249-RA,12.0173135242704
OTAU010377-RA,12.0212277509583
OTAU012305-RA,12.0610154278158
OTAU016870-RA,12.0120537286214
OTAU000843-RA,11.8542511881189
OTAU012571-RA,11.8283640238082
OTAU013795-RA,11.8357147318029
OTAU007877-RA,11.8093992020089
OTAU010378-RA,11.7933600776096
OTAU012657-RA,11.7361763936473
OTAU017263-RA,11.7235050651589
OTAU004038-RA,11.6431174682531
OTAU003590-RA,11.593030328856
OTAU014747-RA,11.5664072518892
OTAU005226-RA,11.524045619679
OTAU016757-RA,11.5153976112312
OTAU001961-RA,11.3753964993417
OTAU012036-RA,11.3795849086091
OTAU001917-RA,11.2328027219086
OTAU007863-RA,11.2342004251362
OTAU012654-RA,11.1997444675075
OTAU002511-RA,11.1475718266371
OTAU011673-RA,11.1543056639586
OTAU005224-RA,11.0864625801314
OTAU014007-RA,11.0012046254979
OTAU000707-RA,10.9285127080246
OTAU009208-RA,10.8759601083626
OTAU013565-RA,10.8455040542734
OTAU010247-RA,10.7831760149305
OTAU013450-RA,10.7116890506949
OTAU001788-RA,10.6636294467281
OTAU003980-RA,10.6597074904096
OTAU004086-RA,10.6763288195963
OTAU012097-RA,10.6561523864495
OTAU016225-RA,10.6696103612033
OTAU009222-RA,10.6427647115772
OTAU005202-RA,10.6024223199862
OTAU004026-RA,10.5608958806626
OTAU013481-RA,10.5251621883802
OTAU007716-RA,10.5147036226039
OTAU004279-RA,10.4319812281672
OTAU009550-RA,10.4172737816389
OTAU013698-RA,10.4250453350012
OTAU016607-RA,10.4453651222084
OTAU017197-RA,10.431058488165
OTAU010309-RA,10.3811440569171
OTAU014841-RA,10.3408491715605
OTAU001769-RA,10.2898199146062
OTAU005889-RA,10.2156180838951
OTAU016572-RA,10.1381784863739
OTAU006366-RA,10.1204316204199
OTAU015803-RA,10.1151052727705
OTAU011065-RA,10.1015476175507
OTAU001518-RA,10.0447451675519
OTAU007918-RA,10.0427781839734
OTAU009211-RA,9.99501075167024
OTAU012667-RA,9.9922237406961
OTAU005956-RA,9.96564233595555
OTAU006633-RA,9.95568986098131
OTAU010833-RA,9.9278126549205
OTAU013850-RA,9.91800927644738
OTAU000850-RA,9.82474773030876
OTAU010464-RA,9.77199378130759
OTAU014672-RA,9.77334190642608
OTAU015003-RA,9.77032606412625
OTAU005614-RA,9.72884993780215
OTAU009554-RA,9.7196389735374
OTAU014612-RA,9.7135446872148
OTAU003422-RA,9.63684578693002
OTAU012656-RA,9.63495782876562
OTAU013564-RA,9.63564445689843
OTAU006504-RA,9.54393614505724
OTAU009182-RA,9.54160717277896
OTAU004521-RA,9.51306857151056
OTAU007838-RA,9.48496835918861
OTAU008210-RA,9.47462341071252
OTAU014311-RA,9.47177122755333
OTAU000748-RA,9.45483965178624
OTAU003053-RA,9.41738601352362
OTAU014860-RA,9.37778624241098
OTAU015995-RA,9.38218822876858
OTAU000295-RA,9.35810273667765
OTAU015524-RA,9.35742301074373
OTAU011998-RA,9.34748586692644
