name	term	lev	seq	value
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU000013-RA	4.39355201635917
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU000277-RA	0.886769731468617
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU000635-RA	3.45256502333988
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU001138-RA	0.929296451891441
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU001216-RA	4.04647105705928
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU001282-RA	0.446189310227475
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU002075-RA	4.88831397199467
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU002623-RA	1.93823907802122
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU003778-RA	0.657165925581592
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU004244-RA	1.74153781619435
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU004511-RA	0.182790306146483
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU005482-RA	0.94811166392079
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU006361-RA	3.21122746769446
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU006614-RA	7.01592818028178
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU007896-RA	1.91983506037423
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU008107-RA	2.38186800149272
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU008444-RA	2.30575577184965
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU009187-RA	1.23496899675886
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU009248-RA	1.5139639507683
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU009488-RA	3.31852890503779
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU009514-RA	3.19625834677812
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU009676-RA	0.351329345563785
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU009924-RA	3.31540881281124
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU010309-RA	10.4555155356083
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU010765-RA	1.46677062862207
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU010766-RA	0.893687287913823
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU011261-RA	1.22760987182135
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU011481-RA	0.445217526848425
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU012276-RA	2.34432803411152
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU014493-RA	0.677624089891305
"small GTPase mediated signal transduction"	GO:0007264	3	OTAU014993-RA	3.77236062519643
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000016-RA	0.565302266155506
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000079-RA	0.106634243911479
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000589-RA	2.51605133511675
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000596-RA	0.0265799121550987
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000764-RA	1.8249877753117
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000823-RA	1.25111740442355
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000860-RA	0.197030668998122
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000901-RA	5.15691625239313
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000917-RA	1.84524167014051
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU000974-RA	0.338174628735572
"phosphorus metabolic process"	GO:0006796;GO:0019637;GO:0006793	2	OTAU001033-RA	0.62067073207404
