name	term	lev	seq	value
"lipid transport"	GO:0006869	2	OTAU003461-RA	0.752728011904709
"lipid transport"	GO:0006869	2	OTAU004380-RA	5.94811341890149
"lipid transport"	GO:0006869	2	OTAU008052-RA	0.241602976136966
"lipid transport"	GO:0006869	2	OTAU012967-RA	1.33006920913565
"lipid transport"	GO:0006869	2	OTAU013613-RA	0.968035626674513
"lipid transport"	GO:0006869	2	OTAU014307-RA	0.118807010424132
"multi-organism process"	GO:0051704	1	OTAU001146-RA	0.304026818537181
"multi-organism process"	GO:0051704	1	OTAU007342-RA	0.978081411738329
"multi-organism process"	GO:0051704	1	OTAU008107-RA	2.60502817176731
"multi-organism process"	GO:0051704	1	OTAU008935-RA	1.72361272839844
"multi-organism process"	GO:0051704	1	OTAU013232-RA	4.65833089051423
"regulation of protein complex disassembly"	GO:0043244;GO:0051129	2	OTAU001241-RA	1.49262888539973
"regulation of protein complex disassembly"	GO:0043244;GO:0051129	2	OTAU001566-RA	5.1400167754647
"regulation of protein complex disassembly"	GO:0043244;GO:0051129	2	OTAU005611-RA	2.30101258326645
"regulation of protein complex disassembly"	GO:0043244;GO:0051129	2	OTAU012800-RA	0.0737183117571877
"regulation of protein complex disassembly"	GO:0043244;GO:0051129	2	OTAU013088-RA	1.87486644449646
"regulation of protein complex disassembly"	GO:0043244;GO:0051129	2	OTAU008107-RA	2.60502817176731
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU000002-RA	0.233133962757722
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU000091-RA	0.219308890737912
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU000166-RA	1.84779654033577
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU000531-RA	1.17552243620232
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU000628-RA	7.32379451027457
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001216-RA	3.92956945524027
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001280-RA	0.16695959423597
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001289-RA	2.73546142850036
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001364-RA	3.33699303308708
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001424-RA	0.472421312253106
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001429-RA	1.31029304078542
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001436-RA	0.380417724529506
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001456-RA	0.144411635016291
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001610-RA	4.22377492491218
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU001628-RA	0.291367591309121
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU002033-RA	0.287874813987349
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU002243-RA	3.35185208469624
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU002288-RA	0.880884593804597
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU002396-RA	2.38979369171139
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU002785-RA	4.78902019598536
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU002842-RA	1.31542751193524
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU003031-RA	6.2932391580159
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU003438-RA	0.950873976830755
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU003490-RA	0.336242207811318
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU003648-RA	1.04394066163704
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU003778-RA	0.70136364400417
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU004000-RA	1.33843050774551
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU004343-RA	4.61510898553708
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU004681-RA	0.153836116587345
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU005261-RA	0.329558280820518
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU005553-RA	0.670860320597022
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU005712-RA	0.330601641506288
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU005904-RA	5.37738069663544
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU005961-RA	3.88218468040431
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006022-RA	6.85836156189619
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006264-RA	1.08791406984849
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006288-RA	3.57698757226372
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006361-RA	3.71693368040172
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006614-RA	7.75501724873798
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006798-RA	3.66495331919631
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU006860-RA	4.22955845298609
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU007352-RA	0.849545139789856
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU007504-RA	2.30488425656361
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU007575-RA	0.160719555409177
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU007594-RA	0.0846416735069164
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU007802-RA	5.35263104267973
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU007896-RA	1.80045029178889
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU008107-RA	2.60502817176731
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU008173-RA	1.02725738351223
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU008175-RA	0.0384083990355119
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU008441-RA	1.01717884775346
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU008450-RA	1.38439480777529
"organic substance transport"	GO:0045184;GO:0015031;GO:0071702	2	OTAU008452-RA	4.02247522271722
