CHROM,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU008667-RA,231.8711148,0.828060932,0.120089793,6.895348178,5.37E-12,4.05E-08
OTAU012562-RA,251.7743638,0.831224739,0.120415498,6.902971424,5.09E-12,4.05E-08
OTAU012716-RA,188.8776752,-1.797885506,0.271046368,-6.63312894,3.29E-11,1.65E-07
OTAU011160-RA,10.24151582,1.573788253,0.258517865,6.087734996,1.15E-09,4.31E-06
OTAU013988-RA,4.416954635,-1.590565441,0.269310101,-5.906074198,3.50E-09,1.06E-05
OTAU002976-RA,998.4231528,0.649494688,0.113342311,5.730381559,1.00E-08,2.52E-05
OTAU014686-RA,603.6609078,0.915104426,0.164407581,5.566071942,2.61E-08,5.61E-05
OTAU002273-RA,510.2146785,0.695727021,0.127376231,5.461984679,4.71E-08,8.86E-05
OTAU010604-RA,12.43188976,-1.459285762,0.269548695,-5.413811272,6.17E-08,9.29E-05
OTAU014798-RA,22.29406935,-1.085649062,0.200045564,-5.427008925,5.73E-08,9.29E-05
OTAU004967-RA,304.1210427,0.794881226,0.148559963,5.350575025,8.77E-08,9.43E-05
OTAU008025-RA,277.137453,-0.449099322,0.083812816,-5.358360947,8.40E-08,9.43E-05
OTAU008480-RA,662.4208653,0.571487251,0.106063127,5.388180318,7.12E-08,9.43E-05
OTAU014765-RA,257.1235386,-0.707407136,0.132126819,-5.354001101,8.60E-08,9.43E-05
OTAU005858-RA,1039.390269,-0.4351167,0.081926039,-5.311091606,1.09E-07,0.000109406
OTAU010736-RA,14.48146993,-1.348176652,0.254567428,-5.295951109,1.18E-07,0.000111443
OTAU003907-RA,101.6418858,-0.895515455,0.169882456,-5.271382797,1.35E-07,0.000113284
OTAU008583-RA,289.144898,0.341648433,0.064801285,5.272247779,1.35E-07,0.000113284
OTAU013675-RA,499.0610458,0.330887241,0.063073906,5.246024216,1.55E-07,0.000123188
OTAU015887-RA,37.63861312,-1.182821508,0.231936118,-5.099772821,3.40E-07,0.000256066
OTAU000930-RA,137.4452316,-0.595501473,0.118026157,-5.045504214,4.52E-07,0.000314982
OTAU017158-RA,9.813346904,1.364602722,0.270634646,5.042232191,4.60E-07,0.000314982
OTAU002274-RA,743.6795297,0.680590195,0.135939137,5.006580227,5.54E-07,0.00034809
OTAU004278-RA,953.8809918,0.664522277,0.132944864,4.998480239,5.78E-07,0.00034809
OTAU016192-RA,151.7437298,-0.905076102,0.181053781,-4.998935109,5.76E-07,0.00034809
OTAU014799-RA,65.02233775,1.222962045,0.245806851,4.975296818,6.51E-07,0.000377356
OTAU006392-RA,1235.831314,-1.08249619,0.22071289,-4.904544501,9.36E-07,0.000522328
OTAU004541-RA,17.68550706,-1.311107266,0.269107766,-4.872052879,1.10E-06,0.000587607
OTAU006393-RA,136.2444313,-1.058076064,0.217784802,-4.858355844,1.18E-06,0.000587607
OTAU013795-RA,4482.367545,1.1232117,0.231396006,4.854066918,1.21E-06,0.000587607
OTAU013946-RA,946.7432559,-0.387667467,0.079849016,-4.855006187,1.20E-06,0.000587607
OTAU012305-RA,12.15388771,1.049729794,0.217497016,4.826410105,1.39E-06,0.000634419
OTAU015998-RA,3.356829288,-1.160124529,0.240077278,-4.832296253,1.35E-06,0.000634419
OTAU008022-RA,690.6881998,0.303570849,0.063335391,4.793068187,1.64E-06,0.000687112
OTAU012794-RA,1.000879847,1.299326633,0.270929704,4.795807227,1.62E-06,0.000687112
OTAU017102-RA,131.9495239,0.583424397,0.121653319,4.795795134,1.62E-06,0.000687112
OTAU005403-RA,340.2645171,0.362252257,0.07613556,4.757990305,1.96E-06,0.000795859
OTAU005056-RA,366.5410027,-0.419109947,0.088663799,-4.726956778,2.28E-06,0.000884155
OTAU014504-RA,58.10404397,-1.107861102,0.234417411,-4.72601885,2.29E-06,0.000884155
OTAU010142-RA,470.2288871,-0.432519436,0.092032198,-4.699653435,2.61E-06,0.000981172
OTAU013892-RA,3954.972255,0.951926219,0.20323836,4.683792077,2.82E-06,0.001009793
OTAU017263-RA,4.792808978,-1.193330349,0.254724559,-4.684787181,2.80E-06,0.001009793
OTAU011835-RA,200.8500191,-0.577756168,0.124976897,-4.622903757,3.78E-06,0.001325299
OTAU000563-RA,615.935478,0.310617084,0.067619003,4.593635985,4.36E-06,0.001388843
OTAU003590-RA,243.3800724,-0.378347927,0.082150106,-4.605568323,4.11E-06,0.001388843
OTAU004038-RA,2134.435573,0.584351829,0.127169149,4.595075416,4.33E-06,0.001388843
OTAU012053-RA,310.451175,-0.386991179,0.084161695,-4.598186594,4.26E-06,0.001388843
OTAU017257-RA,4.585439937,-1.234260328,0.268885834,-4.59027652,4.43E-06,0.001388843
OTAU000843-RA,987.6391654,0.262806911,0.057418724,4.577024561,4.72E-06,0.001449559
OTAU004095-RA,217.7175494,0.576254878,0.126117441,4.56919261,4.90E-06,0.001474695
OTAU017482-RA,126.291608,1.213346809,0.265834631,4.56429173,5.01E-06,0.001479965
OTAU002511-RA,471.6115027,0.261802777,0.057497083,4.553322742,5.28E-06,0.00150145
OTAU007863-RA,13.61838977,-0.927508712,0.204008019,-4.546432609,5.46E-06,0.00150145
OTAU009531-RA,104.0617883,0.392893706,0.086437858,4.545389175,5.48E-06,0.00150145
OTAU012026-RA,402.5743025,0.376068078,0.082637162,4.55083484,5.34E-06,0.00150145
OTAU000983-RA,4353.248461,-0.321513536,0.071133289,-4.519874478,6.19E-06,0.001664031
OTAU012667-RA,3.211616994,-1.201607954,0.269289337,-4.462144582,8.11E-06,0.002143895
OTAU001518-RA,952.6304296,0.261171523,0.058867169,4.436624465,9.14E-06,0.002372742
OTAU001917-RA,469.3978761,-0.175297792,0.039631732,-4.423167597,9.73E-06,0.002482711
OTAU005226-RA,150.3031974,-0.235710474,0.053416512,-4.412689339,1.02E-05,0.002538031
OTAU012923-RA,1056.883785,-0.297879015,0.067577147,-4.407984448,1.04E-05,0.002538031
OTAU016870-RA,3180.687839,0.247874938,0.056237148,4.40767259,1.04E-05,0.002538031
OTAU006249-RA,176.2884895,-0.505922821,0.11551499,-4.379715762,1.19E-05,0.002840703
OTAU008017-RA,401.6774729,0.527397622,0.121548718,4.338981356,1.43E-05,0.003368373
OTAU005463-RA,463.6617033,-0.281728576,0.06505606,-4.330550863,1.49E-05,0.003393903
OTAU013565-RA,77.28618423,-0.600958474,0.138754364,-4.331096008,1.48E-05,0.003393903
OTAU000707-RA,549.4443636,0.901479404,0.209249028,4.308165307,1.65E-05,0.00365416
OTAU015995-RA,14.35991071,-0.982327356,0.228042312,-4.307653912,1.65E-05,0.00365416
OTAU014528-RA,29.95940348,1.138888122,0.264756306,4.301646825,1.70E-05,0.00370025
OTAU007224-RA,1084.869858,0.443194316,0.103268109,4.29168619,1.77E-05,0.003814944
OTAU007716-RA,183.7371627,0.313555994,0.073301005,4.277649335,1.89E-05,0.004006326
OTAU014007-RA,2827.38724,0.753945084,0.176436427,4.273182675,1.93E-05,0.004030693
OTAU006366-RA,153.1923165,-0.391967959,0.091981712,-4.261368393,2.03E-05,0.00419161
OTAU003416-RA,3279.298648,0.134527145,0.031776536,4.233537076,2.30E-05,0.004666107
OTAU007025-RA,14.69863633,1.146183208,0.271045403,4.228749859,2.35E-05,0.004666107
OTAU009550-RA,3612.426564,-0.350897417,0.083045816,-4.225347312,2.39E-05,0.004666107
OTAU010901-RA,54.68902372,0.634326228,0.150028416,4.22804056,2.36E-05,0.004666107
OTAU004279-RA,149.0245574,0.501915517,0.119222881,4.20989254,2.55E-05,0.004932964
OTAU000295-RA,157.8133436,-0.418498472,0.100041708,-4.18323996,2.87E-05,0.005478481
OTAU017079-RA,1.389620595,-1.122717053,0.268724947,-4.177941296,2.94E-05,0.005537554
OTAU010309-RA,1289.90268,0.693383656,0.166177915,4.172537952,3.01E-05,0.005600561
