CHROM,pvalue
OTAU008667-RA,5.37E-12
OTAU012562-RA,5.09E-12
OTAU012716-RA,3.29E-11
OTAU011160-RA,1.15E-09
OTAU013988-RA,3.50E-09
OTAU002976-RA,1.00E-08
OTAU014686-RA,2.61E-08
OTAU002273-RA,4.71E-08
OTAU010604-RA,6.17E-08
OTAU014798-RA,5.73E-08
OTAU004967-RA,8.77E-08
OTAU008025-RA,8.40E-08
OTAU008480-RA,7.12E-08
OTAU014765-RA,8.60E-08
OTAU005858-RA,1.09E-07
OTAU010736-RA,1.18E-07
OTAU003907-RA,1.35E-07
OTAU008583-RA,1.35E-07
OTAU013675-RA,1.55E-07
OTAU015887-RA,3.40E-07
OTAU000930-RA,4.52E-07
OTAU017158-RA,4.60E-07
OTAU002274-RA,5.54E-07
OTAU004278-RA,5.78E-07
OTAU016192-RA,5.76E-07
OTAU014799-RA,6.51E-07
OTAU006392-RA,9.36E-07
OTAU004541-RA,1.10E-06
OTAU006393-RA,1.18E-06
OTAU013795-RA,1.21E-06
OTAU013946-RA,1.20E-06
OTAU012305-RA,1.39E-06
OTAU015998-RA,1.35E-06
OTAU008022-RA,1.64E-06
OTAU012794-RA,1.62E-06
OTAU017102-RA,1.62E-06
OTAU005403-RA,1.96E-06
OTAU005056-RA,2.28E-06
OTAU014504-RA,2.29E-06
OTAU010142-RA,2.61E-06
OTAU013892-RA,2.82E-06
OTAU017263-RA,2.80E-06
OTAU011835-RA,3.78E-06
OTAU000563-RA,4.36E-06
OTAU003590-RA,4.11E-06
OTAU004038-RA,4.33E-06
OTAU012053-RA,4.26E-06
OTAU017257-RA,4.43E-06
OTAU000843-RA,4.72E-06
OTAU004095-RA,4.90E-06
OTAU017482-RA,5.01E-06
OTAU002511-RA,5.28E-06
OTAU007863-RA,5.46E-06
OTAU009531-RA,5.48E-06
OTAU012026-RA,5.34E-06
OTAU000983-RA,6.19E-06
OTAU012667-RA,8.11E-06
OTAU001518-RA,9.14E-06
OTAU001917-RA,9.73E-06
OTAU005226-RA,1.02E-05
OTAU012923-RA,1.04E-05
OTAU016870-RA,1.04E-05
OTAU006249-RA,1.19E-05
OTAU008017-RA,1.43E-05
OTAU005463-RA,1.49E-05
OTAU013565-RA,1.48E-05
OTAU000707-RA,1.65E-05
OTAU015995-RA,1.65E-05
OTAU014528-RA,1.70E-05
OTAU007224-RA,1.77E-05
OTAU007716-RA,1.89E-05
OTAU014007-RA,1.93E-05
OTAU006366-RA,2.03E-05
OTAU003416-RA,2.30E-05
OTAU007025-RA,2.35E-05
OTAU009550-RA,2.39E-05
OTAU010901-RA,2.36E-05
OTAU004279-RA,2.55E-05
OTAU000295-RA,2.87E-05
OTAU017079-RA,2.94E-05
OTAU010309-RA,3.01E-05
OTAU008818-RA,3.06E-05
OTAU004521-RA,3.32E-05
OTAU010378-RA,3.47E-05
OTAU010647-RA,3.47E-05
OTAU014612-RA,3.42E-05
OTAU005523-RA,3.79E-05
OTAU016829-RA,3.76E-05
OTAU012654-RA,3.90E-05
OTAU005956-RA,3.98E-05
OTAU015057-RA,4.10E-05
OTAU004026-RA,4.21E-05
OTAU001184-RA,4.54E-05
OTAU005889-RA,4.56E-05
OTAU010614-RA,4.67E-05
OTAU010731-RA,4.62E-05
OTAU013705-RA,4.66E-05
OTAU008460-RA,4.93E-05
OTAU011065-RA,5.15E-05
OTAU005859-RA,5.29E-05
OTAU010247-RA,5.23E-05
OTAU003053-RA,5.44E-05
OTAU011992-RA,5.59E-05
OTAU011572-RA,5.68E-05
OTAU012571-RA,6.01E-05
OTAU011998-RA,6.22E-05
OTAU012035-RA,6.21E-05
OTAU012640-RA,6.22E-05
OTAU005504-RA,6.50E-05
OTAU010548-RA,6.52E-05
OTAU014975-RA,6.37E-05
OTAU016884-RA,6.53E-05
OTAU007918-RA,6.65E-05
OTAU015524-RA,6.90E-05
OTAU013673-RA,7.14E-05
OTAU008210-RA,7.27E-05
