,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU017482-RA,126.291607961615,8.25697401255702,1.2419886907493,6.6481877605307,2.96723642086608e-11,4.16065890933842e-07
OTAU012716-RA,188.877675219285,-7.49250543440775,1.2183423475097,-6.14975376151251,7.76033322040624e-10,5.44076962082681e-06
OTAU005403-RA,340.264517060574,1.15866870144509,0.193579842418912,5.98548220190042,2.15749714956485e-09,1.00841416770661e-05
OTAU014528-RA,29.9594034765653,7.29057752366142,1.27159328750129,5.73341932150929,9.84258949724622e-09,3.45031974825966e-05
OTAU009178-RA,113.880961490249,3.36702376249156,0.630351965386892,5.34149800012914,9.21816333305145e-08,0.000258514172512095
OTAU002976-RA,998.423152757222,1.65698522045178,0.324295422275196,5.10949309375594,3.2302429777013e-07,0.000754907783888793
OTAU008480-RA,662.420865312974,1.37265981255214,0.275116258214854,4.98938093102498,6.05730961902589e-07,0.00106169494347476
OTAU012562-RA,251.774363762084,1.65513109977916,0.331352110690741,4.99508241045711,5.8810648321467e-07,0.00106169494347476
OTAU005858-RA,1039.39026884258,-1.0229559660881,0.20635065717962,-4.95736713451637,7.14548749068045e-07,0.00107228325172796
OTAU011160-RA,10.2415158223762,5.32615589877781,1.07726127209306,4.9441635346543,7.64714913513022e-07,0.00107228325172796
OTAU003422-RA,33.7250262389999,-3.2204090473842,0.664469087247524,-4.84658971980822,1.25601799964682e-06,0.00160108039918615
OTAU012571-RA,78.6582855641788,-1.97713517009228,0.411478173455306,-4.80495758375149,1.54784315801692e-06,0.00180865473014277
OTAU008667-RA,231.871114768253,1.68862295430332,0.355484195904124,4.75020542054914,2.03210116463335e-06,0.00219185557926837
OTAU013481-RA,190.610710864094,-2.97804281717582,0.629494354786932,-4.73084912442751,2.23582650665476e-06,0.00223933994830808
OTAU004541-RA,17.6855070602944,-5.26256325228038,1.13445946744625,-4.63882880199043,3.50389143643626e-06,0.00327543771478062
OTAU003423-RA,113.774801956303,-2.84207515246314,0.614839074339915,-4.62246996177718,3.79197734471738e-06,0.00332319414547669
OTAU002273-RA,510.214678502711,1.7655653944003,0.384987278191385,4.58603568069748,4.51741432672226e-06,0.00340129750868807
OTAU006524-RA,7934.12907058584,-4.94633832349436,1.08303179579572,-4.56712198357965,4.94466288242664e-06,0.00340129750868807
OTAU009208-RA,15758.9983837153,-4.26312428491434,0.936723060489564,-4.55110423211562,5.33651014057463e-06,0.00340129750868807
OTAU009222-RA,563.240020961891,-4.58697676193242,1.00148744007917,-4.58016404236665,4.64611372883275e-06,0.00340129750868807
OTAU010604-RA,12.4318897612437,-5.20126646382714,1.14164559648848,-4.55593791963585,5.2152338954353e-06,0.00340129750868807
OTAU010736-RA,14.4814699323451,-4.35934311492235,0.957098616323157,-4.55474811119198,5.24483873062334e-06,0.00340129750868807
OTAU015795-RA,10.1300881801119,-4.16756588004468,0.919492612264855,-4.53246260432621,5.82999995087739e-06,0.00355427214396534
OTAU001769-RA,5159.60190761567,0.858978485035657,0.190401933509349,4.51139580992481,6.44024158544626e-06,0.00376271114629698
OTAU016757-RA,7.26123428226327,-4.30557350192852,0.959954330058431,-4.48518577093813,7.28504349756223e-06,0.0040860351969127
OTAU009211-RA,437.494898060039,-4.99212723939467,1.14932516254886,-4.34352905693251,1.40211922485071e-05,0.0071954863320863
OTAU013810-RA,258.982314749866,-0.826167287055129,0.190210492396714,-4.34343698207786,1.40270727582314e-05,0.0071954863320863
OTAU013988-RA,4.4169546348091,-6.06056954830417,1.3970385608123,-4.33815480710876,1.43683937596931e-05,0.0071954863320863
OTAU012035-RA,284.400671242117,5.04447609526424,1.16529680309684,4.32891953522766,1.49842664281059e-05,0.00724515116741036
OTAU005463-RA,463.661703334577,-0.721395612541461,0.16845735897386,-4.28236330508662,1.84918732884296e-05,0.00835210902319056
OTAU014799-RA,65.0223377460431,3.78000261729791,0.881563019411381,4.28784163362685,1.80417644693773e-05,0.00835210902319056
OTAU017158-RA,9.81334690400048,5.26075572536695,1.23040759763454,4.2756203192184,1.90605825661174e-05,0.00835210902319056
OTAU014625-RA,7.02701064071194,-3.53074994035069,0.83022962070221,-4.25273906436194,2.1117158686662e-05,0.00897287270013257
OTAU006249-RA,176.288489459923,-1.44035326360151,0.340251421980264,-4.23320277463837,2.30386602291836e-05,0.00923260339848371
OTAU008711-RA,105.836022868048,2.30547230759476,0.544624881227786,4.23313804980296,2.30452944620546e-05,0.00923260339848371
OTAU013766-RA,25.9633445441422,-2.91291694840206,0.691874695427534,-4.21017991791427,2.55167400816899e-05,0.00977471292823976
OTAU013946-RA,946.743255948768,-0.673060952707268,0.159957461565009,-4.20774964870098,2.57926385925596e-05,0.00977471292823976
OTAU015597-RA,37.1101124549817,5.77994633059849,1.38306894069219,4.17907319045555,2.92699483865835e-05,0.0108006109546493
OTAU000748-RA,183.702609924497,1.00339747112983,0.242352814394354,4.14023444966938,3.46951039061374e-05,0.0116082757713332
OTAU005224-RA,263.315551331396,0.779215380718831,0.187610581067803,4.15336585113618,3.2762030909419e-05,0.0116082757713332
OTAU007967-RA,1817.93440376846,-2.2198031650637,0.534917450220894,-4.1498051038474,3.3275847939443e-05,0.0116082757713332
OTAU017257-RA,4.58543993674093,-4.8801004476737,1.17884267352599,-4.13973853956019,3.47701884464408e-05,0.0116082757713332
OTAU003980-RA,312.96537541254,-3.77814970219409,0.921207733546612,-4.10130046091599,4.10834691314741e-05,0.0133970326549193
OTAU008065-RA,31.0488111982198,-2.25437409455159,0.55105341736231,-4.09102642960178,4.2946817963778e-05,0.0136863700338203
OTAU002274-RA,743.679529731793,1.6839496172389,0.41335542498185,4.07385391715334,4.62414929352662e-05,0.0144088491986289
OTAU003470-RA,1257.95748755703,2.98844522732684,0.737137237075621,4.05412327178401,5.03226762383303e-05,0.015262843437353
OTAU005614-RA,6862.71429446308,-4.40246750688599,1.0870268201777,-4.05000817382436,5.12158439883938e-05,0.015262843437353
OTAU012843-RA,212.014642270373,-1.48609845019061,0.367360745526983,-4.04533818129856,5.2247645485162e-05,0.015262843437353
OTAU012667-RA,3.21161699382246,-4.78316930665555,1.18503606086717,-4.03630696533859,5.42991624442489e-05,0.0155384256284338
OTAU016225-RA,7.70671376653775,-5.24542191954038,1.30693152749809,-4.0135399668427,5.98148690833098e-05,0.0167744818857234
OTAU004278-RA,953.880991843642,1.31017841008744,0.329940627972356,3.97095204109635,7.15859901723237e-05,0.0196819363567907
OTAU000410-RA,3516.17553602056,-0.753467955629127,0.190424159080932,-3.95678762225174,7.59644104605883e-05,0.0204840954515071
OTAU001001-RA,360.869077277238,-1.33688672438537,0.338645546395519,-3.94774636375686,7.88903186065076e-05,0.0208716990094424
OTAU009224-RA,3384.73591884991,-4.10774378338163,1.04595085736065,-3.92728181680266,8.59112955091606e-05,0.0223082997338787
OTAU003416-RA,3279.29864805945,0.249240662231366,0.0639351966275873,3.89833261455588,9.6857316843652e-05,0.024363162307468
OTAU008017-RA,401.677472896343,1.26217495693525,0.324221649196388,3.89293855010504,9.9037245152309e-05,0.024363162307468
OTAU008022-RA,690.688199837379,0.707252488957189,0.181536910701606,3.89591563624053,9.78284392905554e-05,0.024363162307468
OTAU008035-RA,754.35767861277,1.07496581738334,0.276509313982689,3.88762968559765,0.000101227905961875,0.024472718920645
OTAU009182-RA,602.407598104457,2.0180454251323,0.520388667053609,3.87795805884529,0.000105336871003843,0.0249873194198279
OTAU017102-RA,131.949523869934,1.39707037715744,0.360597072728818,3.87432534209196,0.000106920493880308,0.0249873194198279
OTAU010952-RA,169.292092144579,2.41414400143526,0.625019759902329,3.86250828583806,0.000112228757537144,0.0257978957079646
OTAU000664-RA,66.946648629987,-1.61174207252911,0.419875026650771,-3.83862332891181,0.000123726065190337,0.0279820465499823
OTAU002795-RA,187.68124023608,4.15863256966221,1.08510623804788,3.83246582117495,0.00012686522943771,0.0282365753519931
OTAU011164-RA,139.327526607273,2.74565127665378,0.717658356290805,3.82584728873582,0.000130323064059154,0.0285529688162103
OTAU009537-RA,12.9852425887974,3.44387615240158,0.901654508179471,3.81950749556513,0.000133718396396705,0.0288461439119169
OTAU003225-RA,780.407559651956,0.662308857233136,0.173606779514242,3.81499420176044,0.000136186131196369,0.0289333626005376
OTAU004833-RA,425.075994059401,-0.527272170856294,0.138371370877839,-3.81055826441003,0.000138653328151083,0.0290178651840969
OTAU010533-RA,91.5590626254588,-2.48753429202723,0.654185452274012,-3.80249099606285,0.000143248474273884,0.0295386780333588
OTAU002150-RA,11.5377180607348,4.99405904983378,1.31548685584991,3.79635800055729,0.000146837407538688,0.0298399149059056
