gene,neglogpval
OTAU017482-RA,24.2408050013268
OTAU012716-RA,20.9768256558933
OTAU005403-RA,19.9543170141469
OTAU014528-RA,18.4365470002136
OTAU009178-RA,16.1995049308859
OTAU002976-RA,14.9455382912585
OTAU008480-RA,14.3168299067118
OTAU012562-RA,14.3463578115408
OTAU005858-RA,14.1516146136771
OTAU011160-RA,14.0837627346501
OTAU003422-RA,13.587564159092
OTAU012571-RA,13.3786481070404
OTAU008667-RA,13.1064402437426
OTAU013481-RA,13.0108995966233
OTAU004541-RA,12.5616363681223
OTAU003423-RA,12.4826229480837
OTAU002273-RA,12.3075707794142
OTAU006524-RA,12.2172017686358
OTAU009208-RA,12.1409386503647
OTAU009222-RA,12.2794794450451
OTAU010604-RA,12.1639266200024
OTAU010736-RA,12.1582660638483
OTAU015795-RA,12.0524935660277
OTAU001769-RA,11.9529445052836
OTAU016757-RA,11.8296871474959
OTAU009211-RA,11.1749406408503
OTAU013810-RA,11.1745213272272
OTAU013988-RA,11.1504796414561
OTAU012035-RA,11.1085098121406
OTAU005463-RA,10.898179204099
OTAU014799-RA,10.922821239389
OTAU017158-RA,10.8678880953513
OTAU014625-RA,10.765424640058
OTAU006249-RA,10.6783368736024
OTAU008711-RA,10.6780489541753
OTAU013766-RA,10.5761758473928
OTAU013946-RA,10.5654214326197
OTAU015597-RA,10.4389492206176
OTAU000748-RA,10.2689119787725
OTAU005224-RA,10.3262403073289
OTAU007967-RA,10.3106787112296
OTAU017257-RA,10.2667501921593
OTAU003980-RA,10.0999047282836
OTAU008065-RA,10.0555479992686
OTAU002274-RA,9.98163304745902
OTAU003470-RA,9.8970547625998
OTAU005614-RA,9.87946162089117
OTAU012843-RA,9.85951573061964
OTAU012667-RA,9.82100175574281
OTAU016225-RA,9.72425628103711
OTAU004278-RA,9.54461117112746
OTAU000410-RA,9.48524561077017
OTAU001001-RA,9.44745204224827
OTAU009224-RA,9.36219524158677
OTAU003416-RA,9.24227162275992
OTAU008017-RA,9.22001456492061
OTAU008022-RA,9.23229523290283
OTAU008035-RA,9.19813608851171
OTAU009182-RA,9.15834704812993
OTAU017102-RA,9.14342504754684
OTAU010952-RA,9.0949712916813
OTAU000664-RA,8.99744058782544
OTAU002795-RA,8.97238522049155
OTAU011164-RA,8.94549408213631
OTAU009537-RA,8.91977448873148
OTAU003225-RA,8.90148799618562
OTAU004833-RA,8.88353378221594
OTAU010533-RA,8.85092985321928
OTAU002150-RA,8.82618465449906
OTAU004038-RA,8.80639732730948
OTAU015564-RA,8.75212352858551
OTAU000563-RA,8.71885896603234
OTAU004151-RA,8.72728070608148
OTAU010108-RA,8.64692725602054
OTAU004095-RA,8.58935196697908
OTAU010142-RA,8.58466127752832
OTAU015998-RA,8.55465525150057
OTAU007716-RA,8.50819373108855
OTAU011704-RA,8.47614830481486
OTAU012808-RA,8.48775371077063
OTAU014876-RA,8.52174605752456
OTAU015524-RA,8.49730721429158
OTAU016505-RA,8.44977424447835
OTAU006366-RA,8.41611711681746
OTAU000628-RA,8.33546221921342
OTAU007098-RA,8.30016033058681
OTAU014686-RA,8.24774620333687
OTAU007850-RA,8.22021416279897
OTAU014527-RA,8.20903844591577
OTAU009746-RA,8.14315609259057
OTAU010247-RA,8.12648394832623
OTAU002006-RA,8.08728857250117
OTAU007838-RA,8.04132908682699
OTAU009949-RA,8.00250546437083
OTAU010671-RA,7.99519294507601
OTAU006082-RA,7.97147657029757
OTAU000534-RA,7.92597952651656
OTAU001768-RA,7.92365216615743
OTAU008931-RA,7.89445659508478
OTAU009430-RA,7.92361029583989
OTAU014326-RA,7.90321120606524
OTAU014612-RA,7.90737590108448
OTAU015156-RA,7.92200769427353
OTAU014841-RA,7.87023992696726
OTAU016151-RA,7.78447250376382
OTAU002256-RA,7.74903893327082
OTAU006812-RA,7.73229839013822
OTAU015225-RA,7.73508632532004
OTAU017263-RA,7.73455184743868
OTAU012595-RA,7.72112240291137
OTAU001108-RA,7.69322048707216
OTAU006300-RA,7.69990166843049
OTAU009601-RA,7.69879509610229
OTAU006392-RA,7.63971288817644
OTAU001779-RA,7.60009544998907
OTAU009778-RA,7.59503915722161
OTAU003424-RA,7.55630551369695
OTAU009554-RA,7.54519490027568
OTAU002960-RA,7.51837222570414
OTAU005734-RA,7.51901010754009
OTAU012026-RA,7.52246853384671
OTAU014863-RA,7.48613983269061
OTAU008873-RA,7.47461211618402
OTAU004804-RA,7.45445386867816
OTAU005431-RA,7.44629683562711
OTAU009550-RA,7.44266707310532
OTAU000658-RA,7.40588988459375
OTAU010731-RA,7.412971531063
OTAU014860-RA,7.40283717272836
OTAU000213-RA,7.34840369274113
OTAU009269-RA,7.35518227564395
OTAU002615-RA,7.33432071468928
OTAU009054-RA,7.31325778772906
OTAU000868-RA,7.27347877726023
OTAU005818-RA,7.27294748982276
OTAU009133-RA,7.27325340701017
OTAU014504-RA,7.2783551250558
OTAU015894-RA,7.27569901411308
OTAU004465-RA,7.22767629691819
OTAU007946-RA,7.2315201103162
OTAU001895-RA,7.21713089899891
OTAU000507-RA,7.18046608928693
OTAU001780-RA,7.19025454222088
OTAU006523-RA,7.18020500113985
OTAU012036-RA,7.16184624976178
OTAU012305-RA,7.17040791676088
OTAU014048-RA,7.16019468178238
OTAU010833-RA,7.14778227076221
OTAU000930-RA,7.09159154692286
OTAU005956-RA,7.09544560875428
OTAU010309-RA,7.0977372974099
OTAU010614-RA,7.10974508410121
OTAU004559-RA,7.06383735177433
OTAU004714-RA,7.05276342871802
OTAU005161-RA,7.04643902920192
OTAU013276-RA,7.03451738242119
OTAU015822-RA,7.03275305497361
OTAU000983-RA,7.0248322271542
OTAU005019-RA,6.9885276649793
OTAU001939-RA,6.95109056819597
OTAU009675-RA,6.9618409447239
OTAU010610-RA,6.94883344684936
OTAU014949-RA,6.95045756723495
OTAU010758-RA,6.90483933538406
OTAU012225-RA,6.89311584170262
OTAU012845-RA,6.87233533311302
OTAU007854-RA,6.83926769558083
OTAU000663-RA,6.80181536899524
OTAU003684-RA,6.82995521321801
OTAU009207-RA,6.81280818452263
OTAU010525-RA,6.81251621480705
OTAU012654-RA,6.80219447695226
OTAU013715-RA,6.81680841641994
OTAU013134-RA,6.78072277601744
OTAU004329-RA,6.75582599006736
OTAU004756-RA,6.74904654218692
OTAU000648-RA,6.7274832993477
OTAU001709-RA,6.71659443834232
OTAU002181-RA,6.7244125335829
OTAU005111-RA,6.71576825653568
OTAU001035-RA,6.69485517084251
OTAU007849-RA,6.69715985523765
OTAU010092-RA,6.69670368887707
OTAU005222-RA,6.67625521988614
OTAU006332-RA,6.64963013168999
OTAU012075-RA,6.64217429676323
OTAU017321-RA,6.64488714316655
OTAU001041-RA,6.63632917681857
OTAU004026-RA,6.62590151741739
OTAU017152-RA,6.6019893725855
OTAU013850-RA,6.58974284751305
OTAU002566-RA,6.51625208728099
OTAU002652-RA,6.50764358569305
OTAU003903-RA,6.50995905579407
OTAU005186-RA,6.51239676446443
OTAU006635-RA,6.55949307681834
OTAU006673-RA,6.50910318338525
OTAU007152-RA,6.53549682448123
OTAU009808-RA,6.5139413371515
OTAU010354-RA,6.54451878892784
OTAU011790-RA,6.54415425825044
OTAU012195-RA,6.54370830296091
OTAU014302-RA,6.55237652932771
OTAU016278-RA,6.52231533145108
OTAU013450-RA,6.49756079788307
OTAU009842-RA,6.48893969283605
OTAU005134-RA,6.48155374763496
OTAU000707-RA,6.47372566049933
OTAU014119-RA,6.46758032637067
OTAU000391-RA,6.43107344677831
OTAU013569-RA,6.44085166387901
OTAU013804-RA,6.43205863246503
OTAU016572-RA,6.43342808652162
