"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
76 0.294688938726189 3 6 "GO:0000226" "microtubule cytoskeleton organization" 0.998215283552752
-202 0.923417209697467 3 6 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.998215283552752
74 0.196243131650395 3 16 "GO:0001731;GO:0022618;GO:0071826;GO:0006446;GO:0006417;GO:0010608" "posttranscriptional regulation of gene expression" 0.857066689575655
12 0.370511005226132 3 108 "GO:0005975" "carbohydrate metabolic process" 0.998215283552752
140 0.141802709759312 2 7 "GO:0006006" "glucose metabolic process" 0.797161179187484
234 7.70653955041578e-05 5 32 "GO:0006030;GO:0006022;GO:1901071;GO:0006040" "glucosamine-containing compound metabolic process" 0.00801480113243241
136 0.167834115389719 4 6 "GO:0006032;GO:0006026;GO:1901072;GO:0046348" "aminoglycan catabolic process" 0.831178476215751
-126 0.862527200064545 2 9 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.998215283552752
-175 0.89207973090928 4 6 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.998215283552752
-143 0.988766578597809 2 31 "GO:0006091" "generation of precursor metabolites and energy" 0.998215283552752
-160 0.977318038309673 3 19 "GO:0006099" "tricarboxylic acid cycle" 0.998215283552752
-221 0.954604883682263 2 7 "GO:0006108" "malate metabolic process" 0.998215283552752
62 0.329465991533518 2 6 "GO:0006220;GO:0072527" "pyrimidine-containing compound metabolic process" 0.998215283552752
90 0.130188207983119 4 19 "GO:0006259" "DNA metabolic process" 0.785917656239385
201 0.022500250026139 4 12 "GO:0006281;GO:0006974" "DNA repair" 0.329690766570238
-31 0.579186519284719 2 5 "GO:0006310" "DNA recombination" 0.998215283552752
-131 0.904897570387928 4 12 "GO:0006325;GO:0051276" "chromosome organization" 0.998215283552752
-45 0.80968531946053 2 48 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.998215283552752
-246 0.943870714019765 2 5 "GO:0006352" "DNA-templated transcription, initiation" 0.998215283552752
3 0.479567458587482 4 50 "GO:0006355;GO:2001141;GO:0051252;GO:0019219;GO:0051171" "regulation of nucleobase-containing compound metabolic process" 0.998215283552752
-24 0.578362669451689 5 8 "GO:0006357" "regulation of transcription from RNA polymerase II promoter" 0.998215283552752
22 0.364633609482297 2 30 "GO:0006396" "RNA processing" 0.998215283552752
74 0.196646748712467 6 16 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.857066689575655
72 0.162441867540899 2 23 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.831178476215751
21 0.308303784150292 5 72 "GO:0006412" "translation" 0.998215283552752
127 0.0655292016205748 6 17 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation" 0.649051139860931
-139 0.982318828401783 4 28 "GO:0006457" "protein folding" 0.998215283552752
-131 0.982712166787565 2 32 "GO:0006461" "protein complex assembly" 0.998215283552752
-110 0.990250347722194 4 56 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.998215283552752
-86 0.852895029079365 5 18 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.998215283552752
-149 0.998165367498067 2 47 "GO:0006511;GO:0019941;GO:0043632;GO:0051603;GO:0044265;GO:0006508" "cellular macromolecule catabolic process" 0.998215283552752
51 0.339661756716932 4 8 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.998215283552752
-11 0.592559511928621 2 60 "GO:0006520" "cellular amino acid metabolic process" 0.998215283552752
-45 0.615823265566322 2 5 "GO:0006560" "proline metabolic process" 0.998215283552752
-22 0.582666759660274 3 11 "GO:0006575" "cellular modified amino acid metabolic process" 0.998215283552752
154 0.137956256227056 4 6 "GO:0006576;GO:0044106;GO:0009308" "cellular biogenic amine metabolic process" 0.797080591534101
167 0.074183196407197 2 9 "GO:0006605" "protein targeting" 0.673259525461731
-16 0.597161613008611 2 29 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 0.998215283552752
-47 0.692040243008813 4 14 "GO:0006633;GO:0072330" "fatty acid biosynthetic process" 0.998215283552752
56 0.313378675903742 3 9 "GO:0006635;GO:0009062;GO:0019395;GO:0072329;GO:0034440;GO:0030258" "lipid modification" 0.998215283552752
3 0.490806211389116 2 7 "GO:0006643;GO:0006665" "membrane lipid metabolic process" 0.998215283552752
13 0.446052817661234 4 13 "GO:0006644" "phospholipid metabolic process" 0.998215283552752
