"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-34 0.595654974104962 2 6 "GO:0000226" "microtubule cytoskeleton organization" 0.999966420712303
-250 0.96138878113806 3 6 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.999966420712303
237 0.00327394755851163 6 16 "GO:0001731;GO:0022618;GO:0071826;GO:0006446;GO:0006417;GO:0010608" "posttranscriptional regulation of gene expression" 0.136196218434084
-23 0.743961119319316 3 108 "GO:0005975" "carbohydrate metabolic process" 0.999966420712303
166 0.102364518781869 5 7 "GO:0006006" "glucose metabolic process" 0.697870170407285
-1 0.506720431319022 5 32 "GO:0006030;GO:0006022;GO:1901071;GO:0006040" "glucosamine-containing compound metabolic process" 0.999966420712303
-127 0.814780860546945 4 6 "GO:0006032;GO:0006026;GO:1901072;GO:0046348" "aminoglycan catabolic process" 0.999966420712303
-195 0.953783686505583 3 9 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.999966420712303
-7 0.521008735147798 2 6 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.999966420712303
44 0.242990144644962 3 31 "GO:0006091" "generation of precursor metabolites and energy" 0.842365834769202
62 0.219957499563676 2 19 "GO:0006099" "tricarboxylic acid cycle" 0.824409362298804
-147 0.869840568377375 2 7 "GO:0006108" "malate metabolic process" 0.999966420712303
132 0.175270905353534 2 6 "GO:0006220;GO:0072527" "pyrimidine-containing compound metabolic process" 0.784152711308304
-5 0.524671040728955 2 19 "GO:0006259" "DNA metabolic process" 0.999966420712303
119 0.11724830820561 3 12 "GO:0006281;GO:0006974" "cellular response to DNA damage stimulus" 0.697870170407285
-31 0.579374605544363 4 5 "GO:0006310" "DNA recombination" 0.999966420712303
-121 0.88650694099097 2 12 "GO:0006325;GO:0051276" "chromosome organization" 0.999966420712303
-60 0.881054431767691 2 48 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.999966420712303
-21 0.555418353473594 4 5 "GO:0006352" "DNA-templated transcription, initiation" 0.999966420712303
-8 0.564160807730812 4 50 "GO:0006355;GO:2001141;GO:0051252;GO:0019219;GO:0051171" "regulation of nitrogen compound metabolic process" 0.999966420712303
-118 0.83121339209867 2 8 "GO:0006357" "regulation of transcription from RNA polymerase II promoter" 0.999966420712303
-25 0.650223754740016 4 30 "GO:0006396" "RNA processing" 0.999966420712303
-27 0.619980005097741 2 16 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.999966420712303
-125 0.957311627403527 2 23 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.999966420712303
422 2.46036581691957e-24 3 73 "GO:0006412" "translation" 5.11756089919271e-22
-113 0.909784894936733 8 17 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation for protein translation" 0.999966420712303
-177 0.996269255785532 3 28 "GO:0006457" "protein folding" 0.999966420712303
66 0.144271237151506 2 32 "GO:0006461" "protein complex assembly" 0.697870170407285
-105 0.98705093386963 5 56 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.999966420712303
-153 0.969095434831491 4 18 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.999966420712303
-205 0.999966420712303 2 47 "GO:0006511;GO:0019941;GO:0043632;GO:0051603;GO:0044265;GO:0006508" "cellular macromolecule catabolic process" 0.999966420712303
-34 0.609727790102039 4 8 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.999966420712303
-69 0.93299019627756 2 60 "GO:0006520" "cellular amino acid metabolic process" 0.999966420712303
-221 0.923538286840183 2 5 "GO:0006560" "proline metabolic process" 0.999966420712303
20 0.424426390709095 6 11 "GO:0006575" "cellular modified amino acid metabolic process" 0.999966420712303
-144 0.845002117915644 4 6 "GO:0006576;GO:0044106;GO:0009308" "cellular biogenic amine metabolic process" 0.999966420712303
244 0.0175741702259146 4 9 "GO:0006605" "protein targeting" 0.306266926116729
-4 0.527205615433126 5 29 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 0.999966420712303
-61 0.74558051295375 4 14 "GO:0006633;GO:0072330" "monocarboxylic acid biosynthetic process" 0.999966420712303
108 0.175769425095648 4 9 "GO:0006635;GO:0009062;GO:0019395;GO:0072329;GO:0034440;GO:0030258" "lipid modification" 0.784152711308304
-319 0.992575664815501 2 7 "GO:0006643;GO:0006665" "membrane lipid metabolic process" 0.999966420712303
