"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
51 0.359675377731143 2 6 "GO:0000226" "microtubule cytoskeleton organization" 0.86893069161736
-183 0.902278020554989 2 6 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.999795686998174
-181 0.981325841992112 6 16 "GO:0001731;GO:0022618;GO:0071826;GO:0006446;GO:0006417;GO:0010608" "posttranscriptional regulation of gene expression" 0.999795686998174
-2 0.522864991248334 2 108 "GO:0005975" "carbohydrate metabolic process" 0.964394541032562
77 0.278160658649795 2 7 "GO:0006006" "glucose metabolic process" 0.813188277836515
203 0.000529870717007993 3 32 "GO:0006030;GO:0006022;GO:1901071;GO:0006040" "glucosamine-containing compound metabolic process" 0.106209605127886
148 0.148598858786847 2 6 "GO:0006032;GO:0006026;GO:1901072;GO:0046348" "aminoglycan catabolic process" 0.813188277836515
-121 0.853070355228526 2 9 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.999795686998174
-270 0.971875900771478 5 6 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.999795686998174
-37 0.723060943348252 2 31 "GO:0006091" "generation of precursor metabolites and energy" 0.999795686998174
64 0.210183203420234 2 19 "GO:0006099" "tricarboxylic acid cycle" 0.813188277836515
-113 0.805178731570147 2 7 "GO:0006108" "malate metabolic process" 0.999795686998174
-111 0.783933251746616 2 6 "GO:0006220;GO:0072527" "pyrimidine-containing compound metabolic process" 0.999795686998174
19 0.407826606265961 4 19 "GO:0006259" "DNA metabolic process" 0.929319687544948
1 0.494475505508777 2 12 "GO:0006281;GO:0006974" "DNA repair" 0.943586285741519
-174 0.868800290360531 5 5 "GO:0006310" "DNA recombination" 0.999795686998174
-140 0.919296712624639 2 12 "GO:0006325;GO:0051276" "chromosome organization" 0.999795686998174
74 0.0729905346151899 3 48 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.654381086012138
69 0.328046619832739 2 5 "GO:0006352" "DNA-templated transcription, initiation" 0.839990713815643
32 0.263385347753644 3 50 "GO:0006355;GO:2001141;GO:0051252;GO:0019219;GO:0051171" "regulation of nucleobase-containing compound metabolic process" 0.813188277836515
111 0.182028426134599 2 8 "GO:0006357" "regulation of transcription from RNA polymerase II promoter" 0.813188277836515
28 0.331150185254244 2 30 "GO:0006396" "RNA processing" 0.839990713815643
48 0.291637943468403 3 16 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.813188277836515
154 0.0173459770333607 2 23 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.461825785345083
-48 0.875868417999813 3 73 "GO:0006412" "translation" 0.999795686998174
221 0.00440742904252899 7 17 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.207893701028776
-85 0.900082643088922 2 28 "GO:0006457" "protein folding" 0.999795686998174
-169 0.996876840336328 5 32 "GO:0006461" "protein complex assembly" 0.999795686998174
10 0.414963391888927 4 56 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.929319687544948
-24 0.616818632969085 5 18 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.999795686998174
-99 0.972556893216742 4 47 "GO:0006511;GO:0019941;GO:0043632;GO:0051603;GO:0044265;GO:0006508" "cellular macromolecule catabolic process" 0.999795686998174
-5 0.515348305987976 2 8 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.964394541032562
