"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
69 0.313900398873148 3 6 "GO:0000226" "microtubule cytoskeleton organization" 0.996482432890679
-216 0.937022078454424 5 6 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.996482432890679
65 0.227859435720164 6 16 "GO:0001731;GO:0022618;GO:0071826;GO:0006446;GO:0006417;GO:0010608" "posttranscriptional regulation of gene expression" 0.947895252595882
-7 0.575625064257362 2 108 "GO:0005975" "carbohydrate metabolic process" 0.996482432890679
171 0.0964262462310867 6 7 "GO:0006006" "glucose metabolic process" 0.696329789292365
145 0.00980107895274386 5 32 "GO:0006030;GO:0006022;GO:1901071;GO:0006040" "glucosamine-containing compound metabolic process" 0.185329492924611
103 0.233812458567163 2 6 "GO:0006032;GO:0006026;GO:1901072;GO:0046348" "aminoglycan catabolic process" 0.953588066313135
-110 0.829434919532346 4 9 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.996482432890679
-154 0.862103628157531 2 6 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.996482432890679
-100 0.94462021108368 3 31 "GO:0006091" "generation of precursor metabolites and energy" 0.996482432890679
-181 0.988135379269624 2 19 "GO:0006099" "tricarboxylic acid cycle" 0.996482432890679
-208 0.943777340148155 3 7 "GO:0006108" "malate metabolic process" 0.996482432890679
-8 0.523838200350349 2 6 "GO:0006220;GO:0072527" "pyrimidine-containing compound metabolic process" 0.996482432890679
91 0.126529391792763 3 19 "GO:0006259" "DNA metabolic process" 0.751946099796992
209 0.0185628769917981 2 12 "GO:0006281;GO:0006974" "DNA repair" 0.275791315306715
-22 0.555930497783587 5 5 "GO:0006310" "DNA recombination" 0.996482432890679
-144 0.92432331444406 3 12 "GO:0006325;GO:0051276" "chromosome organization" 0.996482432890679
-40 0.78245993233823 2 48 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.996482432890679
-214 0.917004889425471 2 5 "GO:0006352" "DNA-templated transcription, initiation" 0.996482432890679
-1 0.511752543145491 6 50 "GO:0006355;GO:2001141;GO:0051252;GO:0019219;GO:0051171" "regulation of nucleobase-containing compound metabolic process" 0.996482432890679
-27 0.586710347554424 2 8 "GO:0006357" "regulation of transcription from RNA polymerase II promoter" 0.996482432890679
23 0.358130957403084 2 30 "GO:0006396" "RNA processing" 0.996482432890679
65 0.227639573272458 2 16 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.947895252595882
73 0.157238514099225 6 23 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.835945879892002
64 0.0632460466657933 3 73 "GO:0006412" "translation" 0.65775888532425
134 0.0566854859700418 4 17 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.620556899040458
-112 0.955612510034508 2 28 "GO:0006457" "protein folding" 0.996482432890679
-70 0.870161541357077 2 32 "GO:0006461" "protein complex assembly" 0.996482432890679
-98 0.980762460340083 2 56 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.996482432890679
-103 0.89423053233315 5 18 "GO:0006486;GO:0043413;GO:0070085" "macromolecule glycosylation" 0.996482432890679
-149 0.998123938222446 5 47 "GO:0006511;GO:0019941;GO:0043632;GO:0051603;GO:0044265;GO:0006508" "cellular macromolecule catabolic process" 0.998123938222446
37 0.38046327258053 2 8 "GO:0006518;GO:0043603" "cellular amide metabolic process" 0.996482432890679
-29 0.734445100960959 2 60 "GO:0006520" "cellular amino acid metabolic process" 0.996482432890679
-85 0.708061028537047 5 5 "GO:0006560" "proline metabolic process" 0.996482432890679
-40 0.647971779420408 3 11 "GO:0006575" "cellular modified amino acid metabolic process" 0.996482432890679
133 0.174355952726052 3 6 "GO:0006576;GO:0044106;GO:0009308" "amine metabolic process" 0.863477099214734
165 0.0769041503636178 3 9 "GO:0006605" "protein targeting" 0.696329789292365
