	population	devstage	sex	ind
NC_AD4_F1_	NC	AD4	F	1
NC_AD4_F2_	NC	AD4	F	2
NC_AD4_F3_	NC	AD4	F	3
NC_AD4_M1_	NC	AD4	M	1
NC_AD4_M2_	NC	AD4	M	2
NC_AD4_M3_	NC	AD4	M	3
NC_L3L_F1_	NC	L3L	F	1
NC_L3L_F2_	NC	L3L	F	2
NC_L3L_F3_	NC	L3L	F	3
NC_L3L_M1_	NC	L3L	M	1
NC_L3L_M2_	NC	L3L	M	2
NC_L3L_M3_	NC	L3L	M	3
NC_PD1_F1_	NC	PD1	F	1
NC_PD1_F2_	NC	PD1	F	2
NC_PD1_F3_	NC	PD1	F	3
NC_PD1_M1_	NC	PD1	M	1
NC_PD1_M2_	NC	PD1	M	2
NC_PD1_M3_	NC	PD1	M	3
NC_PP1_F1_	NC	PP1	F	1
NC_PP1_F2_	NC	PP1	F	2
NC_PP1_F3_	NC	PP1	F	3
NC_PP1_M1_	NC	PP1	M	1
NC_PP1_M2_	NC	PP1	M	2
NC_PP1_M3_	NC	PP1	M	3
WA_AD4_F1_	WA	AD4	F	1
WA_AD4_F2_	WA	AD4	F	2
WA_AD4_F3_	WA	AD4	F	3
WA_AD4_M1_	WA	AD4	M	1
WA_AD4_M2_	WA	AD4	M	2
WA_AD4_M3_	WA	AD4	M	3
WA_L3L_F1_	WA	L3L	F	1
WA_L3L_F2_	WA	L3L	F	2
WA_L3L_F3_	WA	L3L	F	3
WA_L3L_M1_	WA	L3L	M	1
WA_L3L_M2_	WA	L3L	M	2
WA_L3L_M3_	WA	L3L	M	3
WA_PD1_F1_	WA	PD1	F	1
WA_PD1_F2_	WA	PD1	F	2
WA_PD1_F3_	WA	PD1	F	3
WA_PD1_M1_	WA	PD1	M	1
WA_PD1_M2_	WA	PD1	M	2
WA_PD1_M3_	WA	PD1	M	3
WA_PP1_F1_	WA	PP1	F	1
WA_PP1_F2_	WA	PP1	F	2
WA_PP1_F3_	WA	PP1	F	3
WA_PP1_M1_	WA	PP1	M	1
WA_PP1_M2_	WA	PP1	M	2
WA_PP1_M3_	WA	PP1	M	3
