names	population	devstage	sex	ind
NC_AD4_F1_	2	4	1	1
NC_AD4_F2_	2	4	1	2
NC_AD4_F3_	2	4	1	3
NC_AD4_M1_	2	4	2	1
NC_AD4_M2_	2	4	2	2
NC_AD4_M3_	2	4	2	3
NC_L3L_F1_	2	1	1	1
NC_L3L_F2_	2	1	1	2
NC_L3L_F3_	2	1	1	3
NC_L3L_M1_	2	1	2	1
NC_L3L_M2_	2	1	2	2
NC_L3L_M3_	2	1	2	3
NC_PD1_F1_	2	3	1	1
NC_PD1_F2_	2	3	1	2
NC_PD1_F3_	2	3	1	3
NC_PD1_M1_	2	3	2	1
NC_PD1_M2_	2	3	2	2
NC_PD1_M3_	2	3	2	3
NC_PP1_F1_	2	2	1	1
NC_PP1_F2_	2	2	1	2
NC_PP1_F3_	2	2	1	3
NC_PP1_M1_	2	2	2	1
NC_PP1_M2_	2	2	2	2
NC_PP1_M3_	2	2	2	3
WA_AD4_F1_	1	4	1	1
WA_AD4_F2_	1	4	1	2
WA_AD4_F3_	1	4	1	3
WA_AD4_M1_	1	4	2	1
WA_AD4_M2_	1	4	2	2
WA_AD4_M3_	1	4	2	3
WA_L3L_F1_	1	1	1	1
WA_L3L_F2_	1	1	1	2
WA_L3L_F3_	1	1	1	3
WA_L3L_M1_	1	1	2	1
WA_L3L_M2_	1	1	2	2
WA_L3L_M3_	1	1	2	3
WA_PD1_F1_	1	3	1	1
WA_PD1_F2_	1	3	1	2
WA_PD1_F3_	1	3	1	3
WA_PD1_M1_	1	3	2	1
WA_PD1_M2_	1	3	2	2
WA_PD1_M3_	1	3	2	3
WA_PP1_F1_	1	2	1	1
WA_PP1_F2_	1	2	1	2
WA_PP1_F3_	1	2	1	3
WA_PP1_M1_	1	2	2	1
WA_PP1_M2_	1	2	2	2
WA_PP1_M3_	1	2	2	3
